"date","solar_t","bad_quality"
"1996-10-04",207.579166666667,0
"1996-10-05",211.1625,0
"1996-10-06",207.64375,0
"1996-10-07",204.997916666667,0
"1996-10-08",205.883333333333,0
"1996-10-09",202.6875,0
"1996-10-10",198.945833333333,0
"1996-10-11",203.483333333333,0
"1996-10-12",192.333333333333,0
"1996-10-13",199.114583333333,0
"1996-10-14",112.160416666667,0
"1996-10-15",152.597916666667,0
"1996-10-16",99.1375,0
"1996-10-17",192.475,0
"1996-10-18",196.497916666667,0
"1996-10-19",153.641666666667,0
"1996-10-20",126.0375,0
"1996-10-21",168.7125,0
"1996-10-22",157.295833333333,0
"1996-10-23",113.454166666667,0
"1996-10-24",90.8041666666667,0
"1996-10-25",111.172916666667,0
"1996-10-26",92.8979166666667,0
"1996-10-27",142.102083333333,0
"1996-10-28",150.43125,0
"1996-10-29",133.977083333333,0
"1996-10-30",53.1666666666667,0
"1996-10-31",17.7395833333333,0
"1996-11-01",18.5294117647059,1
"1996-11-02",157.960416666667,0
"1996-11-03",99.3875,0
"1996-11-04",122.154166666667,0
"1996-11-05",124.81875,0
"1996-11-06",102.814583333333,0
"1996-11-07",144.327083333333,0
"1996-11-08",143.247916666667,0
"1996-11-09",129.98125,0
"1996-11-10",102.71875,0
"1996-11-11",143.789583333333,0
"1996-11-12",137.764583333333,0
"1996-11-13",76.2104166666667,0
"1996-11-14",36.5916666666667,0
"1996-11-15",14.5083333333333,0
"1996-11-16",77.0479166666667,0
"1996-11-17",113.839583333333,0
"1996-11-18",99.2875,0
"1996-11-19",115.704166666667,0
"1996-11-20",131.25,0
"1996-11-21",87.4625,0
"1996-11-22",103.295833333333,0
"1996-11-23",19.0291666666667,0
"1996-11-24",120.545833333333,0
"1996-11-25",120.83125,0
"1996-11-26",38.8645833333333,0
"1996-11-27",111.684964200477,1
"1996-11-28",121.354166666667,0
"1996-11-29",80.5791666666667,0
"1996-11-30",116.992840095465,1
"1996-12-01",90.13125,0
"1996-12-02",118.275,0
"1996-12-03",115.929166666667,0
"1996-12-04",118.039583333333,0
"1996-12-05",57.8479166666667,0
"1996-12-06",37.74375,0
"1996-12-07",107.358333333333,0
"1996-12-08",65.2338204592902,0
"1996-12-09",73.8117154811715,0
"1996-12-10",85.5666666666667,0
"1996-12-11",94.69375,0
"1996-12-12",104.985416666667,0
"1996-12-13",109.81875,0
"1996-12-14",112.41875,0
